V (V)	I (A)
3.798E-1	1.044E-2
3.803E-1	1.048E-2
3.810E-1	1.056E-2
3.824E-1	1.073E-2
3.960E-1	1.248E-2
3.982E-1	1.253E-2
3.994E-1	1.266E-2
3.999E-1	1.271E-2
4.006E-1	1.282E-2
4.029E-1	1.310E-2
4.032E-1	1.316E-2
4.044E-1	1.330E-2
4.053E-1	1.343E-2
4.061E-1	1.351E-2
4.061E-1	1.351E-2
4.078E-1	1.374E-2
4.083E-1	1.381E-2
4.093E-1	1.396E-2
4.104E-1	1.414E-2
4.108E-1	1.418E-2
4.116E-1	1.429E-2
4.130E-1	1.449E-2
4.139E-1	1.460E-2
4.154E-1	1.486E-2
4.162E-1	1.496E-2
4.177E-1	1.519E-2
4.188E-1	1.531E-2
4.190E-1	1.537E-2
4.194E-1	1.540E-2
4.203E-1	1.577E-2
4.350E-1	1.805E-2
4.361E-1	1.816E-2
4.374E-1	1.841E-2
4.381E-1	1.848E-2
4.399E-1	1.881E-2
4.441E-1	1.967E-2
4.554E-1	2.180E-2
4.637E-1	2.391E-2
4.712E-1	2.511E-2
4.850E-1	2.866E-2
4.868E-1	2.874E-2
4.880E-1	2.901E-2
5.038E-1	3.295E-2
5.038E-1	3.335E-2
5.187E-1	3.693E-2
5.187E-1	3.693E-2
5.192E-1	3.713E-2
5.199E-1	3.726E-2
5.215E-1	3.770E-2
5.218E-1	3.783E-2
5.230E-1	3.812E-2
5.234E-1	3.819E-2
5.234E-1	3.819E-2
5.369E-1	4.262E-2
5.389E-1	4.268E-2
5.398E-1	4.289E-2
5.411E-1	4.334E-2
5.421E-1	4.361E-2
5.423E-1	4.366E-2
5.435E-1	4.403E-2
5.440E-1	4.414E-2
5.507E-1	4.712E-2
5.593E-1	4.876E-2
5.719E-1	5.362E-2
5.747E-1	5.368E-2
5.756E-1	5.396E-2
5.764E-1	5.419E-2
5.764E-1	5.420E-2
5.769E-1	5.437E-2
5.770E-1	5.439E-2
5.770E-1	5.433E-2
5.770E-1	5.433E-2
5.926E-1	5.950E-2
5.928E-1	5.959E-2
