V (V)	I (A)
5.914E-1	1.690E-2
5.913E-1	1.690E-2
5.938E-1	1.695E-2
5.959E-1	1.700E-2
5.971E-1	1.704E-2
5.987E-1	1.707E-2
5.995E-1	1.709E-2
6.001E-1	1.711E-2
6.020E-1	1.716E-2
6.025E-1	1.717E-2
6.043E-1	1.722E-2
6.054E-1	1.725E-2
6.062E-1	1.727E-2
6.062E-1	1.727E-2
6.062E-1	1.727E-2
6.065E-1	1.728E-2
6.076E-1	1.732E-2
6.081E-1	1.733E-2
6.094E-1	1.737E-2
6.105E-1	1.740E-2
6.113E-1	1.742E-2
6.132E-1	1.748E-2
6.144E-1	1.752E-2
6.150E-1	1.754E-2
6.151E-1	1.754E-2
6.199E-1	1.770E-2
6.262E-1	1.791E-2
6.312E-1	1.809E-2
6.361E-1	1.828E-2
6.399E-1	1.842E-2
6.455E-1	1.866E-2
6.485E-1	1.877E-2
6.530E-1	1.897E-2
6.541E-1	1.902E-2
6.632E-1	1.963E-2
6.765E-1	2.009E-2
6.815E-1	2.037E-2
6.863E-1	2.065E-2
6.894E-1	2.083E-2
6.926E-1	2.103E-2
6.994E-1	2.147E-2
7.148E-1	2.260E-2
7.161E-1	2.272E-2
7.178E-1	2.284E-2
7.178E-1	2.285E-2
7.186E-1	2.294E-2
7.197E-1	2.300E-2
7.203E-1	2.307E-2
7.218E-1	2.320E-2
7.241E-1	2.338E-2
7.241E-1	2.338E-2
7.241E-1	2.338E-2
7.257E-1	2.353E-2
7.258E-1	2.353E-2
7.276E-1	2.370E-2
7.279E-1	2.375E-2
7.291E-1	2.384E-2
7.307E-1	2.399E-2
7.320E-1	2.413E-2
7.330E-1	2.422E-2
7.345E-1	2.436E-2
7.353E-1	2.446E-2
7.370E-1	2.462E-2
7.375E-1	2.466E-2
7.380E-1	2.474E-2
7.387E-1	2.479E-2
7.541E-1	2.652E-2
7.544E-1	2.658E-2
7.552E-1	2.667E-2
7.564E-1	2.682E-2
7.567E-1	2.687E-2
7.602E-1	2.734E-2
7.617E-1	2.751E-2
7.631E-1	2.771E-2
7.638E-1	2.779E-2
7.645E-1	2.791E-2
7.649E-1	2.796E-2
7.661E-1	2.811E-2
7.661E-1	2.811E-2
7.681E-1	2.840E-2
7.698E-1	2.864E-2
7.698E-1	2.864E-2
7.717E-1	2.890E-2
7.735E-1	2.920E-2
7.753E-1	2.944E-2
7.753E-1	2.947E-2
7.770E-1	2.974E-2
7.784E-1	2.994E-2
7.805E-1	3.029E-2
7.821E-1	3.055E-2
7.827E-1	3.061E-2
7.828E-1	3.064E-2
7.835E-1	3.076E-2
7.846E-1	3.094E-2
7.850E-1	3.101E-2
7.874E-1	3.140E-2
7.877E-1	3.147E-2
7.880E-1	3.151E-2
7.882E-1	3.157E-2
7.907E-1	3.201E-2
7.929E-1	3.236E-2
7.944E-1	3.264E-2
7.946E-1	3.268E-2
7.995E-1	3.362E-2
8.011E-1	3.392E-2
8.026E-1	3.417E-2
8.048E-1	3.467E-2
8.228E-1	3.847E-2
8.228E-1	3.848E-2
8.234E-1	3.864E-2
8.251E-1	3.904E-2
8.279E-1	3.969E-2
8.344E-1	4.127E-2
8.390E-1	4.247E-2
8.436E-1	4.364E-2
8.484E-1	4.494E-2
8.537E-1	4.644E-2
8.587E-1	4.793E-2
8.767E-1	5.337E-2
8.795E-1	5.429E-2
8.813E-1	5.487E-2
8.843E-1	5.586E-2
8.875E-1	5.704E-2
8.912E-1	5.828E-2
8.954E-1	5.970E-2
8.954E-1	5.970E-2
