V (V)	I (A)
6.393E-1	1.018E-2
6.554E-1	1.044E-2
6.729E-1	1.072E-2
6.729E-1	1.072E-2
6.884E-1	1.096E-2
6.884E-1	1.096E-2
6.903E-1	1.099E-2
6.953E-1	1.108E-2
7.003E-1	1.116E-2
7.029E-1	1.120E-2
7.097E-1	1.131E-2
7.166E-1	1.142E-2
7.372E-1	1.175E-2
7.447E-1	1.187E-2
7.522E-1	1.199E-2
7.572E-1	1.207E-2
7.634E-1	1.217E-2
7.694E-1	1.227E-2
7.866E-1	1.255E-2
7.915E-1	1.262E-2
7.996E-1	1.276E-2
8.165E-1	1.302E-2
8.371E-1	1.336E-2
8.479E-1	1.353E-2
8.582E-1	1.370E-2
8.882E-1	1.418E-2
8.958E-1	1.430E-2
9.020E-1	1.440E-2
9.107E-1	1.454E-2
