C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
1811|    958.80|GMP 3249                             |G  |12 59 40.5 +28 13 45                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1812|    959.35|[CG99] SA1656-23                     |G  |12 58 46.0 +27 45 25                   |~           |24.13    |~ ~ ~                        |    ~     ~            
1813|    961.09|2MASX J13004111+2753416              |GiC|13 00 41.1715788840 +27 53 42.104833800|0.06152     |17.596   |SBa D 2007ApJS..169..225E    |0.207 0.120            
1814|    961.80|[YKK2016] 319                        |LSB|12 58 46.946 +28 10 37.14              |~           |     ~   |~ ~ ~                        |0.080 0.080            
1815|    961.81|[YKK2016] 113                        |LSB|13 00 43.700 +27 57 08.15              |~           |24.14    |~ ~ ~                        |0.070 0.070            
1816|    962.21|GMP 4251                             |G  |12 58 28.052 +28 05 50.60              |~           |20.09    |~ ~ ~                        |    ~     ~            
1817|    963.76|GMP 4326                             |G  |12 58 20.3 +27 54 19                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1818|    964.02|[CTM2010] 151841                     |G  |13 00 43.79 +27 59 00.0                |~           |     ~   |~ ~ ~                        |    ~     ~            
1819|    964.82|SDSS J130043.72+275921.1             |G  |13 00 43.727 +27 59 21.11              |0.01614     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1820|    965.81|[YKK2016] 312                        |LSB|12 58 41.865 +28 09 45.86              |~           |     ~   |~ ~ ~                        |0.093 0.093            
1821|    966.83|PB 3212                              |*  |13 00 40.6535620316 +27 52 58.883404552|~           |19.35    |~ ~ ~                        |    ~     ~            
1822|    967.39|[EDG2007] 593                        |G  |13 00 29.0512820256 +27 48 04.820889204|~           |21.88    |~ ~ ~                        |    ~     ~            
1823|    967.44|2MASX J13003334+2749266              |GiC|13 00 33.3523167048 +27 49 27.396369444|0.02735     |17.481   |Sa D 2008A&A...490..923M     |0.227 0.154            
1824|    967.52|2MASS J13001878+2745409              |*  |13 00 18.79 +27 45 40.9                |~           |18.808   |~ ~ ~                        |    ~     ~            
1825|    968.02|[YKK2016] 248                        |LSB|12 58 52.128 +27 44 16.41              |~           |22.48    |~ ~ ~                        |0.078 0.078            
1826|    968.91|US 66                                |QSO|12 58 18.4550390760 +27 59 36.447118836|1.72333     |19.59    |~ ~ ~                        |    ~     ~            
1827|    969.13|[EDG2007] 594                        |G  |13 00 39.25 +27 52 00.0                |~           |21.223   |~ ~ ~                        |    ~     ~            
1828|    969.70|[EDG2007] 552                        |GiC|13 00 34.78 +27 49 54.9                |0.1653      |19.346   |~ ~ ~                        |    ~     ~            
1829|    971.01|SDSS J130041.19+280242.4             |G  |13 00 41.2021043640 +28 02 42.455808456|0.02877     |18.487   |E3 D 2008A&A...490..923M     |    ~     ~            
1830|    971.74|[EDG2007] 667                        |G  |13 00 44.01 +27 59 51.6                |~           |23.505   |~ ~ ~                        |    ~     ~            
1831|    971.76|LEDA 126815                          |AG?|12 58 45.543 +27 45 13.96              |0.02210     |18.47    |~ ~ ~                        | 0.26  0.20            
1832|    974.17|GMP 3550                             |G  |12 59 20.0 +28 13 57                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1833|    974.83|CAIRNS J130044.57+275633.3           |GiC|13 00 44.51 +27 56 33.5                |0.24550     |20.12    |~ ~ ~                        |    ~     ~            
1834|    975.07|SDSS J130002.33+274310.9             |GiC|13 00 02.33984 +27 43 10.9355          |0.01870     |     ~   |~ ~ ~                        |    ~     ~            
1835|    975.16|[YKK2016] 100                        |LSB|13 00 28.211 +27 47 38.25              |~           |22.89    |~ ~ ~                        |0.072 0.072            
1836|    975.69|[YKK2016] 426                        |LSB|13 00 11.309 +27 44 16.31              |~           |20.64    |~ ~ ~                        |0.470 0.470            
1837|    975.89|[EDG2007] 705                        |*  |13 00 29.6919241392 +27 48 01.928064204|~           |20.80    |~ ~ ~                        |    ~     ~            
1838|    976.54|GMP 4350                             |G  |12 58 17.6 +27 58 51                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1839|    976.97|[EDG2007] 724                        |G  |13 00 32.98 +27 49 01.8                |~           |21       |~ ~ ~                        |    ~     ~            
1840|    977.29|[CG99] SA1656-25                     |G  |12 58 51.0 +27 44 15                   |~           |25.29    |~ ~ ~                        |    ~     ~            
1841|    977.99|2MASS J12595859+2813022              |*  |12 59 58.5930817560 +28 13 02.419408236|~           |     ~   |~ ~ ~                        |    ~     ~            
1842|    978.09|SDSS J130039.35+280410.8             |G  |13 00 39.352 +28 04 10.89              |0.02219     |21.45    |dE D 2010ApJ...723..251C     |0.107 0.107            
1843|    978.43|[CG99] SA1656-98                     |G  |13 00 12.0 +28 11 30                   |~           |24.73    |~ ~ ~                        |    ~     ~            
1844|    978.57|LEDA 126817                          |GiC|12 58 42.589 +27 45 37.78              |0.02918     |     ~   |dG D 2010MNRAS.404.1745M     | 0.29  0.25            
1845|    980.11|A2 320                               |*  |13 00 34.0748466312 +28 06 31.282551252|~           |16.70    |~ ~ ~                        |    ~     ~            
1846|    980.80|PB 3213                              |*  |13 00 42.9064981224 +27 53 51.978372072|~           |18.036   |~ ~ ~                        |    ~     ~            
1847|    981.17|[EDG2007] 488                        |G  |13 00 21.1237249488 +27 45 50.110980480|~           |21.41    |~ ~ ~                        |    ~     ~            
1848|    981.36|SDSS J130035.98+280550.7             |G  |13 00 35.982 +28 05 50.72              |~           |     ~   |~ ~ ~                        |    ~     ~            
1849|    982.05|[CTM2010] 1042863                    |G  |13 00 44.8792 +27 59 41.728            |0.17693     |     ~   |~ ~ ~                        |    ~     ~            
1850|    982.22|[RPG97] 226                          |GrG|12 58 24.0 +27 51 00                   |0.024364    |     ~   |~ ~ ~                        |    ~     ~            
1851|    982.63|[EDG2007] 117                        |PM*|13 00 12.8046946584 +27 44 21.154099164|~           |19.897   |~ ~ ~                        |    ~     ~            
1852|    982.69|[EDG2007] 558                        |*  |13 00 40.0281128856 +27 51 49.268339820|~           |22.905   |~ ~ ~                        |    ~     ~            
1853|    982.74|[APD2000] J130026.0+280857           |IR |13 00 26.0 +28 08 57                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1854|    983.24|[YKK2016] 672                        |LSB|12 58 33.475 +28 08 13.04              |~           |     ~   |~ ~ ~                        |0.090 0.090            
1855|    984.48|[EDG2007] 305                        |*  |12 58 49.6618231104 +27 44 18.145185612|~           |20.873   |~ ~ ~                        |    ~     ~            
1856|    984.91|SDSS J130039.05+280437.1             |G  |13 00 39.058 +28 04 37.15              |~           |     ~   |~ ~ ~                        |    ~     ~            
1857|    985.35|[CTM2010] 80928                      |G  |13 00 42.36 +28 02 41.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
1858|    986.04|SDSS J130024.13+280927.7             |QSO|13 00 24.1389935784 +28 09 27.729525096|2.185000    |     ~   |~ ~ ~                        |    ~     ~            
1859|    986.36|HD 112886                            |** |12 59 33.2616100800 +28 14 20.124454092|0.000048    |8.59     |~ ~ ~                        |    ~     ~            
1860|    986.48|[YKK2016] 308                        |LSB|12 58 36.569 +28 09 05.26              |~           |     ~   |~ ~ ~                        |0.340 0.340            
1861|    986.73|[EDG2007] 742                        |G  |13 00 31.44 +27 48 14.9                |~           |25.149   |~ ~ ~                        |    ~     ~            
1862|    987.03|[EDG2007] 562                        |*  |13 00 45.64 +27 58 31.9                |~           |20.496   |~ ~ ~                        |    ~     ~            
1863|    987.21|2MASX J12582894+2748527              |GiC|12 58 28.896 +27 48 53.29              |0.084648    |     ~   |~ ~ ~                        |0.157 0.157            
1864|    988.53|[EDG2007] 613                        |G  |13 00 45.5407275720 +27 56 32.459572716|~           |21.281   |~ ~ ~                        |    ~     ~            
1865|    989.25|[EDG2007] 743                        |*  |13 00 41.7262876536 +27 52 30.734654628|~           |21.997   |~ ~ ~                        |    ~     ~            
1866|    989.48|SDSS J130037.05+280544.7             |G  |13 00 36.9 +28 05 46                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1867|    989.88|[YKK2016] 304                        |LSB|12 58 33.988 +28 08 31.72              |~           |     ~   |~ ~ ~                        |0.077 0.077            
1868|    990.80|2XMM J125839.6+280951                |X  |12 58 39.606 +28 09 52.13              |~           |     ~   |~ ~ ~                        |    ~     ~            
1869|    991.57|[CG99] SA1656-94                     |G  |13 00 02.5 +28 12 55                   |~           |24.41    |~ ~ ~                        |    ~     ~            
1870|    991.93|GMP 4046                             |G  |12 58 44.3226251760 +27 45 01.083635388|~           |20.90    |~ ~ ~                        |    ~     ~            
1871|    992.03|SDSS J125844.58+274458.1             |G  |12 58 44.584 +27 44 58.19              |~           |     ~   |~ ~ ~                        |    ~     ~            
1872|    992.11|GMP 4072                             |G  |12 58 41.631 +27 45 30.94              |0.1586      |20.87    |~ ~ ~                        |    ~     ~            
1873|    992.56|CAIRNS J125841.60+274530.7           |GiC|12 58 41.60 +27 45 30.7                |0.15860     |     ~   |~ ~ ~                        |    ~     ~            
1874|    992.61|[APD2000] J130015.5+281115           |IR |13 00 15.5 +28 11 15                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1875|    993.84|[CG99] SA1656-80                     |G  |12 58 39.5 +28 09 55                   |~           |24.55    |~ ~ ~                        |    ~     ~            
1876|    994.99|[EDG2007] 572                        |G  |13 00 43.05 +28 02 44.5                |~           |21.616   |~ ~ ~                        |    ~     ~            
1877|    995.26|[EDG2007] 447                        |*  |13 00 43.5761025360 +27 53 29.159384748|~           |22.279   |~ ~ ~                        |    ~     ~            
1878|    995.45|LB 62                                |blu|12 59 00.0 +28 13 00                   |~           |16.5     |~ ~ ~                        |    ~     ~            
1879|    995.56|[APD2000] J130002.6+281301           |GiC|13 00 02.4 +28 13 00                   |~           |     ~   |E/S0 D 2008A&A...490..923M   |    ~     ~            
1880|    995.77|[EDG2007] 400                        |G  |13 00 32.57 +27 48 20.3                |0.2202      |20.046   |~ ~ ~                        |    ~     ~            
1881|    996.58|CAIRNS J130006.66+274315.6           |GiC|13 00 06.66 +27 43 15.6                |0.14590     |     ~   |~ ~ ~                        |    ~     ~            
1882|    996.83|[EDG2007] 676                        |*  |13 00 44.74 +28 01 25.5                |~           |22.118   |~ ~ ~                        |    ~     ~            
1883|    996.94|CAIRNS J130032.64+274819.6           |GiC|13 00 32.64 +27 48 19.6                |0.19640     |     ~   |~ ~ ~                        |    ~     ~            
1884|    997.35|SDSS J130015.97+274432.9             |QSO|13 00 15.9793206792 +27 44 32.989314588|0.782000    |     ~   |~ ~ ~                        |    ~     ~            
1885|    997.59|CAIRNS J130043.07+280257.2           |GiC|13 00 42.95 +28 02 57.5                |0.22440     |20.432   |S... D 2008A&A...490..923M   |    ~     ~            
1886|    999.09|[CG99] SA1656-24                     |G  |12 58 47.0 +27 44 25                   |~           |22.89    |~ ~ ~                        |    ~     ~            
1887|    999.60|CAIRNS J130046.32+275940.0           |GiC|13 00 46.22 +27 59 40.7                |0.27310     |20.333   |~ ~ ~                        |    ~     ~            
1888|    999.65|GMP 2476                             |G  |13 00 45.5 +27 55 02                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1889|   1000.23|[CTM2010] 81669                      |G  |13 00 44.6775 +28 01 44.606            |0.02283     |     ~   |~ ~ ~                        |    ~     ~            
1890|   1000.41|GMP 2497                             |G  |13 00 44.104 +28 02 15.44              |0.02965     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1891|   1001.02|SDSS J130042.51+280325.4             |AG?|13 00 42.519 +28 03 25.44              |0.01940     |19.9     |E D 2010ApJ...723..251C      |    ~     ~            
1892|   1001.29|2MASS J13000338+2813001              |PM*|13 00 03.3753059136 +28 13 00.340047012|-0.000071   |     ~   |~ ~ ~                        |    ~     ~            
1893|   1001.65|CAIRNS J130042.88+280313.3           |G  |13 00 42.872 +28 03 13.76              |0.0226      |19.505   |~ ~ ~                        |    ~     ~            
1894|   1002.85|[YKK2016] 658                        |LSB|12 58 15.496 +27 58 02.07              |~           |     ~   |~ ~ ~                        |0.103 0.103            
1895|   1002.94|GMP 2488                             |G  |13 00 44.575 +27 53 49.12              |~           |19.98    |~ ~ ~                        |    ~     ~            
1896|   1003.08|GMP 4221                             |GiC|12 58 30.9138790317 +27 47 47.946373781|~           |     ~   |~ ~ ~                        |0.0352832 0.0352832    
1897|   1003.38|2MASS J13003533+2806481              |*  |13 00 35.3470896576 +28 06 48.272152536|~           |     ~   |~ ~ ~                        |    ~     ~            
1898|   1003.42|[CG99] SA1656-93                     |GrG|13 00 03.0 +28 13 05                   |~           |19.95    |~ ~ ~                        |    ~     ~            
1899|   1004.17|GMP 2996                             |GiC|13 00 02.695 +27 42 41.06              |~           |19.22    |~ ~ ~                        |    ~     ~            
1900|   1004.31|[CG99] SA1656-104                    |GrG|13 00 46.5 +27 59 50                   |0.021225    |23.69    |~ ~ ~                        |    ~     ~            
1901|   1005.18|[K94] 125702.74+283048.0             |Rad|12 59 27.43 +28 14 38.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
1902|   1005.45|[K94] 125809.14+280435.8             |Rad|13 00 33.82 +27 48 27.2                |~           |     ~   |~ ~ ~                        |    ~     ~            
1903|   1005.48|5C 4.102                             |G  |13 00 26.68320 +28 09 20.7468          |~           |     ~   |~ ~ ~                        |    ~     ~            
1904|   1005.49|[EDG2007] 643                        |*  |13 00 46.76 +27 56 22.6                |~           |23.522   |~ ~ ~                        |    ~     ~            
1905|   1005.56|4W 1257+27W01                        |Rad|12 59 43.11 +27 41 21.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
1906|   1005.64|[YKK2016] 659                        |LSB|12 58 17.000 +27 54 22.76              |~           |     ~   |~ ~ ~                        |0.075 0.075            
1907|   1005.70|GMP 3881                             |G  |12 58 57.1 +28 12 53                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1908|   1005.77|[EDG2007] 290                        |GiC|13 00 33.13 +27 48 13.5                |0.1964      |20.182   |~ ~ ~                        |    ~     ~            
1909|   1006.35|[YKK2016] 117                        |LSB|13 00 46.989 +27 56 50.07              |~           |22.35    |~ ~ ~                        |0.080 0.080            
1910|   1006.88|[CG99] SA1656-105                    |GrG|13 00 43.0 +28 03 25                   |~           |23.85    |~ ~ ~                        |    ~     ~            
1911|   1006.91|[YKK2016] 95                         |LSB|13 00 24.396 +27 45 55.77              |~           |23.01    |~ ~ ~                        |0.067 0.067            
1912|   1007.05|[K94] 125602.47+282312.9             |Rad|12 58 27.36 +28 07 01.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
1913|   1007.28|SDSS J125835.42+274630.0             |GiC|12 58 35.43130 +27 46 30.0798          |0.02020     |20.01    |~ ~ ~                        |    ~     ~            
1914|   1007.76|[CTM2010] 10217                      |G  |13 00 40.36 +28 04 54.5                |~           |     ~   |~ ~ ~                        |    ~     ~            
1915|   1007.98|[YKK2016] 254                        |LSB|12 59 00.809 +27 42 30.22              |~           |21.31    |~ ~ ~                        |0.103 0.103            
1916|   1008.32|GMP 4184                             |G  |12 58 33.0 +27 47 05                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1917|   1008.85|GMP 4304                             |G  |12 58 22.6 +27 50 37                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1918|   1009.68|GMP 3306                             |G  |12 59 36.9 +28 14 41                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1919|   1010.66|[HVH2010] Comai J130042.463+280356.30|G  |13 00 42.5 +28 03 56                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1920|   1010.66|[EDG2007] 255                        |*  |13 00 40.5157977192 +27 50 53.518795692|~           |18.187   |~ ~ ~                        |    ~     ~            
1921|   1011.10|GMP 2463                             |G  |13 00 47.0 +27 55 59                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1922|   1011.25|[K94] 125620.09+282729.3             |Rad|12 58 44.90 +28 11 18.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
1923|   1011.75|GMP 4361                             |G  |12 58 16.9 +27 54 01                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1924|   1011.93|SDSS J130047.52+275829.9             |G  |13 00 47.526 +27 58 29.91              |0.01941     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1925|   1012.11|[EDG2007] 461                        |*  |13 00 44.8712781216 +27 53 28.053698208|~           |22.556   |~ ~ ~                        |    ~     ~            
1926|   1013.08|[YKK2016] 88                         |LSB|13 00 19.652 +27 44 51.03              |~           |22.6     |~ ~ ~                        |0.073 0.073            
1927|   1013.50|[YKK2016] 287                        |LSB|12 59 54.341 +27 41 48.29              |~           |23.15    |~ ~ ~                        |0.122 0.122            
1928|   1013.82|2MASX J12581739+2802237              |GiC|12 58 17.395 +28 02 23.71              |0.02065     |     ~   |~ ~ ~                        |0.130 0.130            
1929|   1014.38|[CTM2010] 10388                      |*  |13 00 41.3306 +28 04 42.012            |0.00028     |     ~   |~ ~ ~                        |    ~     ~            
1930|   1014.48|2MASX J12590180+2813309              |AGN|12 59 01.8109774776 +28 13 31.188539316|0.02675     |15.3     |S... D 2008A&A...490..923M   |0.517 0.300            
1931|   1015.22|[YKK2016] 118                        |LSB|13 00 47.667 +27 58 59.38              |~           |23.6     |~ ~ ~                        |0.087 0.087            
1932|   1016.69|[EDG2007] 706                        |G  |13 00 47.55 +27 59 36.5                |~           |22.184   |~ ~ ~                        |    ~     ~            
1933|   1017.04|EXMS B1257+279                       |X  |13 00 13.953 +27 43 49.94              |~           |22.67    |~ ~ ~                        |    ~     ~            
1934|   1017.49|[EDG2007] 225                        |*  |13 00 30.7888509144 +27 47 13.212874284|~           |17.83    |~ ~ ~                        |    ~     ~            
1935|   1018.14|[EDG2007] 612                        |*  |13 00 27.4228943208 +27 46 20.899219332|~           |20.73    |~ ~ ~                        |    ~     ~            
1936|   1018.62|GMP 4377                             |G  |12 58 15.3 +27 55 12                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1937|   1019.60|2MASS J12581473+2755593              |*  |12 58 14.73096 +27 55 59.3040          |-0.000018   |     ~   |~ ~ ~                        |    ~     ~            
1938|   1020.53|[EDG2007] 104                        |*  |13 00 48.1744061304 +27 57 20.645571672|~           |15.441   |~ ~ ~                        |    ~     ~            
1939|   1020.98|[CTM2010] 4000025                    |G  |13 00 47.8491 +27 59 39.957            |0.27151     |     ~   |~ ~ ~                        |    ~     ~            
1940|   1021.24|[YKK2016] 592                        |LSB|12 58 50.095 +27 43 30.52              |~           |22.91    |~ ~ ~                        |0.070 0.070            
1941|   1021.67|2MASX J13004737+2755196              |GiC|13 00 47.4059356440 +27 55 19.874900820|0.02857     |16.81    |Sa D 2008A&A...490..923M     |0.330 0.205            
1942|   1022.80|GMP 4144                             |G  |12 58 35.9 +27 46 01                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1943|   1023.30|[EDG2007] 644                        |G  |13 00 47.40 +28 00 41.9                |~           |21.451   |~ ~ ~                        |    ~     ~            
1944|   1024.34|[CG99] SA1656-81                     |GrG|12 58 42.0 +28 11 05                   |~           |23.14    |~ ~ ~                        |    ~     ~            
1945|   1024.50|[EDG2007] 471                        |G  |13 00 47.91 +28 00 03.8                |~           |20.948   |~ ~ ~                        |    ~     ~            
1946|   1024.73|[YKK2016] 258                        |LSB|12 59 07.614 +27 41 38.30              |~           |20.87    |~ ~ ~                        |0.078 0.078            
1947|   1024.93|[YKK2016] 404                        |LSB|13 00 04.122 +28 13 21.82              |~           |     ~   |~ ~ ~                        |0.308 0.308            
1948|   1025.41|LP 322-308                           |PM*|13 00 08.3840619912 +27 42 55.214779860|~           |     ~   |~ ~ ~                        |    ~     ~            
1949|   1025.68|[EDG2007] 528                        |G  |13 00 44.28 +28 03 33.5                |~           |21.778   |~ ~ ~                        |    ~     ~            
1950|   1026.16|H-ATLAS J125856.1+281309             |G  |12 58 56.051 +28 13 08.91              |1.53        |     ~   |~ ~ ~                        |    ~     ~            
1951|   1026.36|GMP 4245                             |GiC|12 58 29.0 +27 47 43                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1952|   1026.70|[K94] 125634.58+275827.6             |Rad|12 58 59.54 +27 42 17.2                |~           |     ~   |~ ~ ~                        |    ~     ~            
1953|   1027.32|SMDG J1258164+275330                 |LSB|12 58 16.3 +27 53 29                   |~           |     ~   |~ ~ ~                        | 0.55  0.55            
1954|   1028.44|4W 1256+27W02                        |Rad|12 58 59.32 +27 42 16.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
1955|   1029.12|GMP 3452                             |G  |12 59 27.649 +28 15 02.20              |~           |21.43    |~ ~ ~                        |    ~     ~            
1956|   1029.63|GMP 4065                             |GiC|12 58 41.626 +28 11 07.77              |0.02683     |18.55    |~ ~ ~                        |    ~     ~            
1957|   1030.34|TYC 1995-2002-1                      |*  |13 00 41.6545199904 +27 50 39.295782672|-0.000087   |12.65    |~ ~ ~                        |    ~     ~            
1958|   1030.47|[EDG2007] 383                        |G  |13 00 41.09 +27 50 23.3                |~           |19.007   |~ ~ ~                        |    ~     ~            
1959|   1031.48|[APD2000] J130025.6+281020           |GiC|13 00 25.1 +28 10 19                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1960|   1032.42|GMP 4212                             |G  |12 58 31.2 +27 46 56                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1961|   1033.49|[YKK2016] 120                        |LSB|13 00 49.138 +27 58 36.03              |~           |20.93    |~ ~ ~                        |0.093 0.093            
1962|   1033.49|2MASS J13002524+2810194              |NIR|13 00 25.2715246416 +28 10 19.613330760|~           |     ~   |~ ~ ~                        |    ~     ~            
1963|   1033.53|2XMM J125959.1+274149                |X  |12 59 59.1739524864 +27 41 49.579556928|~           |     ~   |~ ~ ~                        |    ~     ~            
1964|   1033.77|USNO-A1.0 1125-06709270              |*  |13 00 04.0137399720 +28 13 32.245043772|~           |     ~   |~ ~ ~                        |    ~     ~            
1965|   1034.72|[BO85] Coma 308                      |GiC|12 58 41.5 +28 11 13                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1966|   1034.78|GMP 3478                             |G  |12 59 25.950 +28 15 06.60              |~           |21.30    |~ ~ ~                        |    ~     ~            
1967|   1034.82|GMP 2647                             |GiC|13 00 28.5 +28 09 38                   |~           |20.35    |~ ~ ~                        |    ~     ~            
1968|   1035.27|CAIRNS J125959.20+281400.8           |GiC|12 59 59.20 +28 14 00.8                |0.19330     |     ~   |~ ~ ~                        |    ~     ~            
1969|   1035.75|[EDG2007] 729                        |G  |13 00 44.44 +28 03 57.3                |~           |21.913   |~ ~ ~                        |    ~     ~            
1970|   1035.87|GMP 3458                             |G  |12 59 27.100 +28 15 08.60              |~           |21.14    |~ ~ ~                        |    ~     ~            
1971|   1036.48|[YKK2016] 278                        |LSB|12 59 42.865 +27 40 49.31              |~           |23.38    |~ ~ ~                        |0.098 0.098            
1972|   1038.11|[EDG2007] 629                        |*  |13 00 47.82 +28 01 32.2                |~           |18.809   |~ ~ ~                        |    ~     ~            
1973|   1038.19|GMP 4386                             |G  |12 58 14.2 +27 54 42                   |~           |     ~   |~ ~ ~                        |    ~     ~            
1974|   1038.25|[CG99] SA1656-100                    |G  |12 59 59.0 +28 14 05                   |~           |24.74    |~ ~ ~                        |    ~     ~            
1975|   1039.47|NSC J125859+281345                   |ClG|12 58 59.40 +28 13 44.7                |0.0277      |     ~   |~ ~ ~                        |    ~     ~            
1976|   1039.52|2MASX J12581807+2804137              |GiC|12 58 18.1138554984 +28 04 13.895517216|0.157355    |     ~   |~ ~ ~                        |0.140 0.140            
1977|   1040.28|2MASX J13001266+2743112              |GiC|13 00 12.6888005328 +27 43 11.412984180|0.016650    |     ~   |~ ~ ~                        |0.297 0.107            
1978|   1040.45|GMP 3754                             |G  |12 59 06.119 +28 14 20.30              |~           |20.22    |~ ~ ~                        |    ~     ~            
1979|   1040.45|[YKK2016] 272                        |LSB|12 59 29.388 +27 40 33.97              |~           |     ~   |~ ~ ~                        |0.100 0.100            
1980|   1040.66|2XMM J130012.1+281243                |G  |13 00 12.106 +28 12 42.85              |~           |23.24    |~ ~ ~                        |    ~     ~            
1981|   1040.88|[EDG2007] 481                        |G  |13 00 44.17 +27 51 29.9                |~           |20.583   |~ ~ ~                        |    ~     ~            
1982|   1040.96|GMP 3344                             |G  |12 59 34.819 +28 15 14.00              |~           |     ~   |~ ~ ~                        |    ~     ~            
1983|   1041.69|OMHR J130014.59+274325.9             |*  |13 00 14.5615735056 +27 43 25.702388328|0.00031     |18.70    |~ ~ ~                        |    ~     ~            
1984|   1043.01|[EDG2007] 649                        |G  |13 00 48.23 +28 01 30.2                |~           |21.917   |~ ~ ~                        |    ~     ~            
1985|   1043.22|[EDG2007] 351                        |G  |13 00 45.36 +28 03 45.7                |~           |21.122   |~ ~ ~                        |    ~     ~            
1986|   1043.88|[CTM2010] 10355                      |*  |13 00 41.9604 +28 05 34.170            |0.00019     |     ~   |~ ~ ~                        |    ~     ~            
1987|   1044.06|[YKK2016] 656                        |LSB|12 58 14.733 +28 02 08.49              |~           |     ~   |~ ~ ~                        |0.123 0.123            
1988|   1044.27|[CTM2010] 10679                      |G  |13 00 42.8100 +28 05 11.373            |0.18189     |     ~   |~ ~ ~                        |    ~     ~            
1989|   1044.29|[EDG2007] 405                        |GiC|13 00 40.27 +27 49 32.3                |~           |20.064   |~ ~ ~                        |    ~     ~            
1990|   1044.77|[APD2000] J130044.5+280426           |G  |13 00 44.29 +28 04 27.3                |~           |20.936   |~ ~ ~                        |    ~     ~            
1991|   1044.83|PSO J195.0538+27.7189                |Opt|13 00 12.93032880 +27 43 08.0519880    |~           |     ~   |~ ~ ~                        |    ~     ~            
1992|   1045.79|[EDG2007] 532                        |GiC|13 00 23.95 +27 44 56.9                |~           |19.456   |~ ~ ~                        |    ~     ~            
1993|   1045.92|[YKK2016] 668                        |LSB|12 58 28.223 +28 08 25.94              |~           |     ~   |~ ~ ~                        |0.075 0.075            
1994|   1046.20|SDSS J130045.85+280335.9             |G  |13 00 45.857 +28 03 35.94              |0.02641     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
1995|   1046.41|[CTM2010] 2000005                    |G  |13 00 48.7793 +28 01 11.212            |0.02448     |     ~   |~ ~ ~                        |    ~     ~            
1996|   1047.60|[APD2000] J130042.8+280523           |G  |13 00 42.65 +28 05 23.8                |~           |21.261   |~ ~ ~                        |    ~     ~            
1997|   1047.76|[EDG2007] 233                        |*  |13 00 47.82 +28 02 14.5                |~           |22.802   |~ ~ ~                        |    ~     ~            
1998|   1048.04|GMP 2635                             |GiC|13 00 29.926 +27 46 12.91              |0.02788     |19.002   |~ ~ ~                        |    ~     ~            
1999|   1048.06|SDSS J125854.45+281322.6             |GiC|12 58 54.45891 +28 13 22.6862          |0.02363     |18.94    |~ ~ ~                        |    ~     ~            
2000|   1048.56|GMP 3904                             |G  |12 58 55.6 +28 13 31                   |~           |     ~   |~ ~ ~                        |    ~     ~            
2001|   1048.78|GMP 2442                             |G  |13 00 48.5 +28 01 41                   |~           |     ~   |~ ~ ~                        |    ~     ~            
2002|   1049.63|GMP 3203                             |G  |12 59 44.0 +28 15 10                   |~           |     ~   |~ ~ ~                        |    ~     ~            
2003|   1050.12|SDSS J130030.18+280936.1             |GiC|13 00 30.19141 +28 09 36.1677          |0.02358     |18.48    |~ ~ ~                        |0.136533335 0.136533335
2004|   1050.54|LEDA 1827127                         |EmG|12 58 25.5275211384 +28 07 44.085207936|0.02736     |     ~   |Sa/E D 2015MNRAS.446.3749Y   |0.197 0.134            
