C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
70  |    108.71|[MGH2010] J125938.92+275830.6        |G? |12 59 38.92 +27 58 30.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
71  |    109.47|GMP 3326                             |G  |12 59 35.925 +27 56 24.44              |~           |21.57    |~ ~ ~                        |    ~     ~            
72  |    109.86|[MGH2010] J125938.86+275835.9        |G? |12 59 38.86 +27 58 35.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
73  |    110.51|[MGH2010] J125939.30+275820.0        |G? |12 59 39.30 +27 58 20.0                |~           |     ~   |~ ~ ~                        |    ~     ~            
74  |    112.80|[MGH2010] J125939.14+275713.8        |G? |12 59 39.14 +27 57 13.8                |~           |     ~   |~ ~ ~                        |    ~     ~            
75  |    112.99|[CTM2010] 1038885                    |G  |12 59 38.62 +27 56 58.7                |0.02241     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
76  |    114.22|[RB67] 16                            |G  |12 59 24.064 +27 58 58.45              |~           |24.54    |E D ~                        |    ~     ~            
77  |    115.92|GMP 3514                             |G  |12 59 23.1 +27 57 10                   |~           |     ~   |~ ~ ~                        |    ~     ~            
78  |    116.78|GMP 3348                             |G  |12 59 34.403 +27 59 42.89              |0.01743     |     ~   |dE D 2010ApJ...723..251C     |    ~     ~            
79  |    118.06|[CTM2010] 1041346                    |G  |12 59 39.4006 +27 58 40.047            |0.02941     |     ~   |~ ~ ~                        |    ~     ~            
80  |    119.12|[CG99] SA1656-20                     |G  |12 59 23.0 +27 57 05                   |~           |24.46    |~ ~ ~                        |    ~     ~            
81  |    119.14|LEDA 44644                           |G  |12 59 39.6590757624 +27 57 14.115321252|0.02679     |16.99    |S0... D 2008A&A...490..923M  | 0.29  0.18            
82  |    119.57|GMP 3525                             |G  |12 59 22.258 +27 57 36.99              |~           |21.58    |~ ~ ~                        |    ~     ~            
83  |    120.29|[SRW2012] Src. 6                     |UX?|12 59 39.8 +27 57 16                   |~           |     ~   |~ ~ ~                        |    ~     ~            
84  |    120.90|LEDA 44651                           |EmG|12 59 40.2735433608 +27 58 05.677395348|0.02527     |17.375   |S0... D 2008A&A...490..923M  | 0.26  0.17            
85  |    121.28|LEDA 1821898                         |GiC|12 59 35.180 +27 56 05.00              |0.013986    |18.894   |dE D 2007ApJS..169..225E     | 0.30  0.22            
86  |    121.38|CAIRNS J125923.24+275854.9           |GiC|12 59 23.276 +27 58 55.33              |0.0301      |20.44    |~ ~ ~                        |    ~     ~            
87  |    122.38|2XMM J125937.6+275921                |X  |12 59 37.66 +27 59 21.5                |~           |     ~   |~ ~ ~                        |    ~     ~            
88  |    123.02|[MGH2010] J125938.99+275900.9        |G? |12 59 38.99 +27 59 00.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
89  |    123.67|LEDA 44636                           |G  |12 59 38.3213456016 +27 59 13.953200280|0.02274     |17.13    |S0 D 2014MNRAS.439.1749L     |0.273 0.191            
90  |    123.93|[EDG2007] 138                        |*  |12 59 24.7756929984 +27 56 23.946776052|~           |16.842   |~ ~ ~                        |    ~     ~            
91  |    124.09|[CTM2010] 195526                     |G  |12 59 40.3899 +27 57 30.905            |0.02291     |     ~   |~ ~ ~                        |    ~     ~            
92  |    125.27|GMP 3366                             |G  |12 59 32.856 +27 55 50.84              |~           |21.42    |~ ~ ~                        |    ~     ~            
93  |    125.48|[MGH2010] J125940.60+275808.4        |G? |12 59 40.60 +27 58 08.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
94  |    128.15|[MGH2010] J125940.49+275829.4        |G? |12 59 40.49 +27 58 29.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
95  |    130.39|[MGH2010] J125939.13+275911.2        |G? |12 59 39.13 +27 59 11.2                |~           |     ~   |~ ~ ~                        |    ~     ~            
96  |    131.27|[MGH2010] J125940.68+275831.9        |G? |12 59 40.68 +27 58 31.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
97  |    133.09|2MASX J12592136+2758248              |GiC|12 59 21.4151965488 +27 58 24.866619600|0.02021     |17.608   |S... D 2008A&A...490..923M   |0.240 0.115            
98  |    133.22|[MGH2010] J125940.39+275700.4        |G? |12 59 40.39 +27 57 00.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
99  |    133.43|[MGH2010] J125940.64+275840.3        |G? |12 59 40.64 +27 58 40.3                |~           |     ~   |~ ~ ~                        |    ~     ~            
100 |    133.49|[OSR2002] b062                       |GiC|12 59 32.09 +28 00 07.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
